Date,Machine_ID,Maintenance_Type,Maintenance_Cost,Downtime_Minutes,Maintenance_Backlog_Count,Spare_Part_Name,Spare_Part_Stock,Breakdown_Reason,MTBF (hours),MTTR (hours),Next_Service_Date,Technician_Name,Technician_Score
2024-07-28,M003,Preventive,1925,259,3,Sensor,49,Electrical Fault,963,8.02,2024-09-22,Courtney Brown,3
2024-02-11,M005,Preventive,2078,150,2,Sensor,39,Wear,714,1.71,2024-04-05,Shawn Sanchez,3
2023-06-25,M002,Preventive,1259,280,0,Belt,61,Overload,699,3.25,2023-07-25,Philip Mayo,3
2023-02-26,M003,Preventive,2843,277,1,Gearbox,23,Electrical Fault,163,4.94,2023-04-27,Vincent Gonzales,2
2022-09-04,M004,Preventive,4806,181,1,Motor,36,Overload,192,9.56,2022-11-07,Kaylee Grant,1
2023-12-03,M001,Preventive,2531,69,3,Belt,34,Wear,935,2.05,2024-01-08,Michael Holt,4
2022-07-31,M003,Preventive,2043,124,3,Bearing,87,None,540,6.95,2022-10-03,Dave Webb,1
2025-04-13,M003,Preventive,4826,61,0,Bearing,72,Electrical Fault,898,8.64,2025-06-29,David Washington,1
2023-07-02,M005,Preventive,3372,102,0,Motor,62,None,532,7.83,2023-08-20,Alisha Robinson,4
2022-10-02,M004,Preventive,631,290,4,Gearbox,41,Overload,882,2.27,2022-11-11,Matthew Roberts,5
2022-07-31,M001,Reactive,3236,197,4,Motor,43,Overload,996,3.57,2022-09-02,Karen Gomez,2
2022-06-05,M004,Preventive,1676,239,2,Gearbox,44,Wear,624,6.9,2022-08-07,Jesse Ward,2
2023-07-30,M001,Preventive,3549,169,3,Sensor,79,Electrical Fault,198,4.23,2023-09-27,David Norman,2
2024-01-14,M001,Preventive,4291,289,1,Gearbox,28,Electrical Fault,928,7.58,2024-03-30,Andrea Diaz,3
2023-06-25,M004,Reactive,2321,84,2,Sensor,45,None,648,3.45,2023-09-05,Daniel Ward,1
2022-05-29,M002,Reactive,3253,34,3,Sensor,54,Electrical Fault,777,8.87,2022-07-06,Russell Gordon,3
2024-01-07,M003,Reactive,1496,272,0,Gearbox,68,Overload,225,1.6,2024-04-01,Elizabeth Zamora,2
2024-12-08,M004,Reactive,3465,113,3,Gearbox,14,Overload,880,2.58,2025-02-20,Nancy Vang,5
2022-09-25,M002,Preventive,1739,167,1,Belt,34,Wear,624,2.24,2022-11-08,Michael Dougherty,2
2023-10-01,M002,Preventive,4087,218,2,Gearbox,72,None,395,9.83,2023-11-21,Angela Morgan,2
2022-09-11,M004,Preventive,3262,148,1,Gearbox,5,Electrical Fault,249,3.62,2022-10-21,Michael Proctor,4
2024-11-03,M001,Preventive,2138,52,2,Gearbox,26,Wear,368,9.33,2024-12-29,Crystal Cook,2
2022-10-23,M004,Preventive,3814,98,2,Gearbox,21,None,383,2.9,2022-12-23,Zachary Allen,5
2023-08-27,M005,Reactive,4579,262,2,Sensor,60,None,130,8.48,2023-11-23,Kimberly Wallace,3
2024-11-03,M001,Reactive,4369,270,4,Gearbox,15,None,992,4.86,2024-12-10,Daniel Hunter,2
2022-12-25,M005,Reactive,3495,49,1,Belt,78,Overload,251,3.29,2023-03-23,Laura Weaver,3
2024-05-12,M004,Preventive,3842,284,0,Belt,38,None,721,7.12,2024-07-10,Paul Reed,5
2024-12-15,M003,Reactive,2761,288,0,Sensor,50,Overload,766,9.88,2025-02-08,Anne Diaz,4
2023-12-31,M003,Reactive,2218,195,2,Sensor,18,None,688,2.9,2024-02-22,Tyler Roberts,4
2024-02-25,M001,Reactive,1130,64,4,Sensor,8,None,152,1.1,2024-04-29,Mrs. Allison Palmer,1
2022-09-04,M005,Preventive,4520,216,3,Motor,67,Overload,461,7.45,2022-11-16,Melissa Carpenter,5
2022-06-26,M001,Preventive,2964,48,3,Sensor,20,Wear,153,1.23,2022-08-28,Jenna Velasquez,2
2022-05-01,M001,Preventive,590,269,1,Motor,37,None,306,7.8,2022-07-12,Heather Rose,5
2024-12-29,M003,Preventive,2752,119,3,Gearbox,73,Overload,416,9.34,2025-02-05,Valerie Matthews,2
2023-08-27,M003,Reactive,806,176,4,Belt,41,Wear,122,1.55,2023-10-17,Hailey Jordan,1
2022-10-09,M004,Reactive,3448,32,1,Sensor,18,Wear,247,4.79,2022-12-14,Mario Hall,4
2022-07-17,M003,Preventive,3925,287,3,Bearing,24,None,683,1.44,2022-08-20,Lisa Wade,4
2022-09-25,M003,Preventive,1373,52,4,Gearbox,79,Overload,339,8.76,2022-11-02,Laura Duran,4
2024-04-14,M003,Preventive,2196,121,1,Sensor,69,Wear,308,1.02,2024-06-18,Nathaniel Fox,5
2024-11-10,M004,Preventive,3393,290,0,Gearbox,61,None,561,7.53,2025-01-13,Omar Brown,5
2024-06-02,M002,Preventive,1070,138,2,Gearbox,13,Wear,627,1.92,2024-08-10,Robin Calderon,1
2024-06-16,M004,Preventive,2367,105,0,Gearbox,94,Wear,777,3.04,2024-08-15,David Zamora,2
2024-09-01,M002,Preventive,2511,219,0,Motor,5,Overload,769,3.05,2024-11-06,Timothy Alvarado,5
2024-02-25,M004,Preventive,854,180,1,Belt,78,Wear,485,5.85,2024-04-26,Taylor Williams,5
2023-11-19,M005,Reactive,2936,32,4,Sensor,64,Wear,936,3.84,2024-01-13,Julia Barrett,1
2022-11-27,M002,Preventive,972,287,3,Motor,38,None,221,3.88,2023-02-23,Dr. Christopher Davis,1
2024-02-18,M003,Reactive,1481,142,0,Sensor,94,Electrical Fault,415,5.45,2024-05-01,Daniel Moore,5
2025-04-06,M003,Preventive,3756,67,1,Sensor,28,Wear,660,9.25,2025-05-06,Lauren Hoffman,4
2022-05-29,M003,Preventive,1462,134,0,Gearbox,57,Electrical Fault,822,4.05,2022-07-07,Alison Randall,3
2023-10-08,M002,Preventive,4944,195,3,Motor,66,Overload,891,8.13,2023-12-20,Frank Wall,5
2024-02-04,M004,Preventive,2610,197,1,Gearbox,49,Wear,658,6.11,2024-04-21,Gregory Silva,4
2022-05-15,M002,Preventive,1135,271,3,Belt,18,Overload,895,3.37,2022-07-20,Katherine Thompson,2
2023-07-30,M001,Preventive,3321,132,1,Belt,69,None,511,9.17,2023-09-20,Stacey Wilson,3
