Date,Machine_ID,Machine_Name,Shift,Units_Produced,Downtime_Minutes,Scrap_Units,Defect_Percentage,Machine_Utilization (%),Bottleneck_Reason,Delay_Cause,Planned_Production,Actual_Production,Energy_Consumption (kWh),Operator_Name
2023-01-14,M003,Machine_M003,Swing,845,2,1,4.02,67.07,Operator Error,None,976,845,1097,James Donaldson
2024-10-06,M003,Machine_M003,Day,542,115,2,1.52,77.64,Operator Error,Maintenance Delay,624,542,1408,Roberto Morris
2024-07-21,M003,Machine_M003,Day,362,104,16,2.66,60.52,Operator Error,Power Issue,498,362,1433,Jackie Mooney
2024-10-15,M005,Machine_M005,Day,481,57,12,2.85,72.77,Tooling Issue,Power Issue,575,481,1423,Albert Herrera
2025-01-25,M004,Machine_M004,Night,651,60,26,4.4,60.71,Operator Error,None,709,651,1048,Maria Montgomery
2023-01-27,M001,Machine_M001,Swing,742,55,25,1.56,63.05,Material Shortage,Maintenance Delay,829,742,1810,Stephanie Simmons
2022-11-20,M001,Machine_M001,Swing,694,44,21,3.3,71.52,None,Power Issue,822,694,1804,Cristina Reilly
2024-10-17,M003,Machine_M003,Night,657,98,7,2.26,61.75,Material Shortage,Setup Delay,777,657,1219,Karen Reed
2022-08-24,M004,Machine_M004,Night,351,66,15,2.15,92.08,None,Power Issue,405,351,1217,Anne Strong
2023-10-01,M004,Machine_M004,Night,731,27,19,4.66,72.11,Tooling Issue,Setup Delay,832,731,1472,Keith Le
2024-10-13,M002,Machine_M002,Day,584,106,16,3.12,93.55,Tooling Issue,Power Issue,713,584,1083,Elizabeth Wallace
2024-11-18,M004,Machine_M004,Day,991,63,30,3.73,84.23,Material Shortage,Power Issue,1093,991,1930,Amanda Lewis
2023-07-24,M005,Machine_M005,Day,309,92,4,0.62,91.91,None,Setup Delay,383,309,1389,Frederick Bryant
2024-09-16,M002,Machine_M002,Day,381,42,12,1.19,89.83,Operator Error,Setup Delay,519,381,1288,Nancy Moore
2023-03-29,M004,Machine_M004,Day,980,64,42,3.36,75.98,Tooling Issue,Setup Delay,1086,980,1437,Robert Dixon
2025-01-09,M004,Machine_M004,Day,846,65,12,0.89,67.48,Operator Error,Power Issue,988,846,1636,Michael Simmons
