Date,Region,Product_ID,Product_Name,Units_Sold,Revenue,Forecasted_Sales,Actual_Sales,Customer_ID,Customer_Name,Order_ID,Order_Status,Sales_Team_Member,Conversion_Status,Retention_Rate
2023-02-01,North,P005,Widget_E,1642,92867.43,95838.8,92867.43,C38114,"Brady, Stewart and Chambers",ORD31948,Completed,Mark Bishop,Won,94.39
2024-08-01,North,P001,Widget_A,2715,174282.05,177713.86,174282.05,C90817,"Henry, Cook and Moore",ORD52967,Completed,Jamie Riddle,Won,90.98
2022-11-01,North,P005,Widget_E,9620,878957.76,839366.41,878957.76,C70266,"Smith, Serrano and Collins",ORD74117,Completed,Michael Lindsey,Lost,75.77
2023-01-01,West,P005,Widget_E,2711,238064.14,247507.45,238064.14,C42747,Taylor-Turner,ORD44480,Completed,Melissa Williams,Won,73.89
2025-03-01,North,P003,Widget_C,6919,346926.19,337093.12,346926.19,C20872,Farmer-Thompson,ORD43442,Completed,Robert Smith,Lead,87.76
2025-04-01,North,P002,Widget_B,5119,325829.99,322376.5,325829.99,C69837,"Harris, Johnson and Durham",ORD51791,Completed,John Romero,Lead,75.44
2024-11-01,South,P002,Widget_B,7818,395418.83,402549.42,395418.83,C62185,"Hanna, Jordan and Sanford",ORD68602,Completed,Daniel Cook,Lost,83.6
2024-06-01,South,P002,Widget_B,9272,673897.38,678932.03,673897.38,C55814,Jennings Group,ORD08507,Completed,Brendan Carey,Lost,84.54
2024-05-01,North,P002,Widget_B,1719,160939.8,166442.0,160939.8,C79775,Brock-Pollard,ORD19186,Completed,Mr. Benjamin Murillo,Won,76.64
2022-07-01,West,P003,Widget_C,6672,453164.2,442643.85,453164.2,C88557,Stone-Dixon,ORD73501,Completed,Mr. Devon Elliott,Won,79.59
2023-08-01,West,P001,Widget_A,3326,306435.74,305616.72,306435.74,C41696,Kim Inc,ORD95569,Completed,Thomas Parker,Won,77.59
2023-01-01,South,P004,Widget_D,5805,308018.22,316016.79,308018.22,C25175,"Lynn, Frost and Wilson",ORD14007,Cancelled,Brendan Bass DVM,Lead,91.02
2024-09-01,South,P001,Widget_A,5451,297779.57,297780.93,297779.57,C38733,Ibarra-Smith,ORD46381,Completed,Aaron Parker,Won,91.34
2025-02-01,North,P001,Widget_A,9379,520988.95,514591.69,520988.95,C64024,"Avery, Watson and Ball",ORD75951,Cancelled,Steven Moore,Won,72.66
2023-08-01,North,P004,Widget_D,3234,257640.17,260623.99,257640.17,C11911,"Keller, Pitts and Bennett",ORD75100,Cancelled,Jacob Osborne,Lost,93.61
2025-04-01,North,P004,Widget_D,1666,134392.87,128699.78,134392.87,C11564,"Hanson, Washington and Stevens",ORD38557,Completed,Lisa Reyes,Lead,71.07
2024-12-01,North,P003,Widget_C,4451,430159.34,408865.81,430159.34,C62908,Fletcher-Hunt,ORD49023,Completed,Christopher Cooley,Won,91.58
